746437126733045764,lgbt,,4,9,,2,2016-06-24 20:17:33
746436452708392960,guns,lgbt,4,17,,2,2016-06-24 20:14:53
746436166535290880,lgbt,,10,,,2,2016-06-24 20:13:44
745698600097824768,guns,,11,12,,2,2016-06-22 19:22:55
743850821377462272,lgbt,,4,,,2,2016-06-17 17:00:30
743837700269154304,guns,,17,12,,2,2016-06-17 16:08:22
743472279628189700,lgbt,,4,9,,2,2016-06-16 15:56:19
743472093027778560,lgbt,,4,,,2,2016-06-16 15:55:34
743202684396773376,guns,,3,12,,2,2016-06-15 22:05:02
743202363704508416,guns,lgbt,4,17,,2,2016-06-15 22:03:46
742773753491402753,guns,lgbt,3,,,2,2016-06-14 17:40:37
742761984165347328,guns,,6,17,,2,2016-06-14 16:53:51
742371330981527552,guns,,17,,,2,2016-06-13 15:01:32
742065252582490112,guns,,17,,,2,2016-06-12 18:45:17
712287803246288896,isis,,17,,,2,2016-03-22 14:40:20
705498975621799936,aca,,8,,,2,2016-03-03 21:03:57
701869436899348480,aca,,1,,,2,2016-02-22 20:41:28
700725956630048768,aca,,1,,,2,2016-02-19 16:57:41
693139547220238336,aca,,8,,,2,2016-01-29 18:32:00
692415693577388036,aca,,8,,,2,2016-01-27 18:35:40
692414691566551040,aca,,8,,,2,2016-01-27 18:31:41
692408255029612544,aca,,8,,,2,2016-01-27 18:06:06
690642212330344448,aca,,8,,,2,2016-01-22 21:08:29
690639408748498945,aca,,8,,,2,2016-01-22 20:57:21
690636205180977152,aca,,16,,,2,2016-01-22 20:44:37
687701924741836801,isis,,14,,,2,2016-01-14 18:24:50
687698124840812545,aca,,16,,,2,2016-01-14 18:09:44
687356006863601664,isis,,9,14,,2,2016-01-13 19:30:17
686647382939963392,isis,,16,,,2,2016-01-11 20:34:28
686647130166050816,isis,,10,7,,2,2016-01-11 20:33:27
684481899490885633,aca,,5,4,,2,2016-01-05 21:09:36
684470055233523715,aca,,4,12,,2,2016-01-05 20:22:32
676486699250225152,aca,,15,,,2,2015-12-14 19:39:32
675412831794307072,aca,,13,8,,2,2015-12-11 20:32:22
672907031423139840,aca,,8,,,2,2015-12-04 22:35:12
672198890477735940,aca,,8,13,,2,2015-12-02 23:41:18
672177997353525248,guns,,17,,,2,2015-12-02 22:18:17
665355615108247553,isis,,17,,,2,2015-11-14 02:28:35
654300718883540992,isis,,16,,,2,2015-10-14 14:20:22
653238135690629122,lgbt,,4,,,2,2015-10-11 15:58:02
651136640610504704,isis,,16,,,2,2015-10-05 20:47:27
649685852784824320,guns,,17,,,2,2015-10-01 20:42:32
649337380160335876,isis,,3,,,2,2015-09-30 21:37:50
647095575024898048,isis,,16,,,2,2015-09-24 17:09:42
642315423476649984,isis,,7,17,,2,2015-09-11 12:35:05
641363470315728897,abort,,4,12,,2,2015-09-08 21:32:21
639172205750784001,isis,,16,,,2,2015-09-02 20:25:03
638819633919692800,isis,,16,,,2,2015-09-01 21:04:04
638440130311684096,aca,,8,4,,2,2015-08-31 19:56:03
